,Loyalty Number,Country,Province,City,Postal Code,Gender,Education,Salary,Marital Status,Loyalty Card,CLV,Enrollment Type,Enrollment Year,Enrollment Month,Cancellation Year,Cancellation Month
17,438936,Canada,Quebec,Montreal,H2Y 2W2,Male,Bachelor,94092,Married,Star,3878.77,Standard,2013,10,2016,6
18,172755,Canada,Alberta,Edmonton,T3G 6Y6,Female,College,79245,Single,Aurora,5303.76,2018 Promotion,2018,3,2016,6
19,354730,Canada,New Brunswick,Fredericton,E3B 2H2,Female,College,79245,Married,Star,3885.46,Standard,2014,10,2018,1
20,413741,Canada,Ontario,Toronto,M1R 4K3,Female,College,79245,Married,Star,3885.46,Standard,2015,7,2016,6
21,552965,Canada,Quebec,Montreal,H4G 3T4,Male,College,79245,Married,Star,3885.46,Standard,2018,11,2016,6
22,642313,Canada,Alberta,Edmonton,T9G 1W3,Male,College,79245,Married,Star,3885.46,Standard,2016,3,2016,6
23,263080,Canada,Alberta,Edmonton,T9G 1W3,Male,College,79245,Single,Star,3886.5,Standard,2014,5,2016,6
24,109767,Canada,Ontario,Toronto,M1R 4K3,Female,Bachelor,89062,Single,Star,3886.65,Standard,2016,5,2016,6
25,217754,Canada,Quebec,Montreal,H2Y 4R4,Female,Bachelor,102400,Single,Star,3887.32,Standard,2015,6,2016,6
26,157005,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,98629,Married,Star,3890.87,Standard,2016,10,2016,6
27,557752,Canada,Ontario,Toronto,P1L 8X8,Female,Bachelor,98629,Married,Star,3890.87,Standard,2017,10,2016,6
28,608758,Canada,Ontario,Ottawa,K1F 2R2,Male,Bachelor,63795,Married,Star,3890.96,Standard,2013,7,2016,6
29,599341,Canada,Quebec,Tremblant,H5Y 2S9,Female,Bachelor,54890,Married,Star,3891.54,Standard,2015,11,2016,6
30,333502,Canada,British Columbia,Vancouver,V5R 1W3,Male,College,79245,Married,Star,3891.58,Standard,2014,3,2016,6
31,201574,Canada,Ontario,Ottawa,K1F 2R2,Female,Bachelor,51375,Married,Star,3893.31,Standard,2015,4,2015,12
32,403361,Canada,British Columbia,Vancouver,V1E 4R6,Male,Bachelor,70222,Single,Star,3895.03,Standard,2017,10,2016,6
33,543918,Canada,Quebec,Montreal,H2T 2J6,Male,High School or Below,40736,Married,Star,3896.57,Standard,2012,11,2016,6
34,806030,Canada,Alberta,Calgary,T3E 2V9,Female,Bachelor,75861,Married,Star,3903.47,Standard,2018,5,2016,6
35,119200,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,69835,Divorced,Star,3903.8,Standard,2017,5,2016,6
36,938981,Canada,Alberta,Edmonton,T3G 6Y6,Female,College,79245,Single,Aurora,5337.35,2018 Promotion,2018,4,2016,6
37,238119,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,75980,Married,Star,3906.67,Standard,2013,5,2016,6
38,730388,Canada,Ontario,Thunder Bay,K8T 5M5,Male,College,79245,Single,Star,3907.03,Standard,2012,5,2016,6
39,834891,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,54460,Married,Star,3911.12,Standard,2017,3,2017,4
40,127400,Canada,British Columbia,Whistler,V6T 1Y8,Female,College,79245,Single,Star,3914.72,Standard,2014,6,2016,6
41,324557,Canada,Quebec,Montreal,H2Y 2W2,Female,College,79245,Single,Star,3914.72,Standard,2013,2,2016,6
42,742002,Canada,Ontario,Toronto,P2T 6G3,Female,College,79245,Single,Star,3915.8,Standard,2016,5,2016,6
43,536567,Canada,Alberta,Peace River,T9O 2W2,Male,Bachelor,80697,Married,Star,3919.37,Standard,2016,5,2016,6
44,704835,Canada,British Columbia,Whistler,V6T 1Y8,Male,Bachelor,80697,Married,Star,3919.37,Standard,2016,9,2016,6
45,733338,Canada,Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,80697,Married,Star,3919.37,Standard,2016,6,2017,2
46,758635,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,80697,Married,Star,3919.37,Standard,2018,6,2016,6
47,823048,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,80697,Married,Star,3919.37,Standard,2018,5,2016,6
48,612905,Canada,Ontario,Toronto,P2T 6G3,Female,College,79245,Married,Star,3920.51,Standard,2015,2,2016,6
49,679908,Canada,Quebec,Montreal,H4G 3T4,Female,Bachelor,77601,Married,Star,3921.02,Standard,2015,8,2016,6
50,704150,Canada,Manitoba,Winnipeg,R6Y 4T5,Male,Bachelor,77601,Married,Star,3921.02,Standard,2014,10,2016,6
51,869743,Canada,Ontario,Sudbury,M5V 1G5,Female,Bachelor,73236,Single,Star,3924.42,Standard,2016,11,2017,7
52,596179,Canada,New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,50879,Single,Star,3933.81,Standard,2014,3,2016,6
53,370450,Canada,Ontario,Thunder Bay,K8T 5M5,Female,High School or Below,62160,Married,Star,3934.1,Standard,2012,11,2016,6
54,501030,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,93541,Married,Star,3934.71,Standard,2017,3,2016,6
55,878633,Canada,Ontario,Trenton,K8V 4B2,Female,Doctor,163974,Married,Star,3936.79,Standard,2013,12,2016,6
56,285938,Canada,Quebec,Montreal,H2T 2J6,Female,Bachelor,75827,Married,Star,3939.01,Standard,2014,9,2016,6
57,588237,Canada,Quebec,Tremblant,H5Y 2S9,Male,Bachelor,75827,Married,Star,3939.01,Standard,2013,11,2016,6
58,645280,Canada,British Columbia,West Vancouver,V6V 8Z3,Male,Bachelor,75827,Married,Star,3939.01,Standard,2012,12,2016,6
59,864324,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,75827,Married,Star,3939.01,Standard,2018,6,2016,6
60,124678,Canada,Nova Scotia,Halifax,B3J 9S2,Male,Doctor,152955,Married,Star,3954.34,Standard,2013,6,2016,6
61,186015,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Doctor,152955,Married,Star,3954.34,Standard,2015,9,2016,6
62,461108,Canada,Quebec,Montreal,H2T 9K8,Male,Doctor,152955,Married,Star,3954.34,Standard,2018,10,2016,6
63,589580,Canada,British Columbia,Whistler,V6T 1Y8,Male,Doctor,152955,Married,Star,3954.34,Standard,2015,8,2016,6
64,623688,Canada,Ontario,London,M5B 3E4,Female,Doctor,152955,Married,Star,3954.34,Standard,2016,5,2016,6
65,386082,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,30486,Divorced,Aurora,5391.97,2018 Promotion,2018,3,2018,11
66,256147,Canada,Ontario,Toronto,M1R 4K3,Female,College,79245,Married,Star,3958.0,Standard,2012,9,2016,6
67,329382,Canada,Quebec,Montreal,H2T 9K8,Male,College,79245,Single,Star,3961.59,Standard,2012,8,2016,6
68,140392,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,96814,Married,Star,3963.39,Standard,2013,7,2016,6
69,112522,Canada,Alberta,Peace River,T9O 2W2,Male,Bachelor,49846,Married,Aurora,5636.74,2018 Promotion,2018,2,2016,6
70,230908,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Doctor,217538,Divorced,Star,3964.15,Standard,2012,5,2016,6
71,972581,Canada,British Columbia,Vancouver,V5R 1W3,Male,High School or Below,48744,Married,Star,3964.53,Standard,2016,2,2016,6
72,357549,Canada,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,76410,Single,Star,3964.73,Standard,2018,9,2016,6
73,330694,Canada,Alberta,Edmonton,T3G 6Y6,Female,Bachelor,105053,Married,Aurora,6172.91,2018 Promotion,2018,2,2016,6
74,910875,Canada,Quebec,Hull,J8Y 3Z5,Female,Bachelor,84914,Married,Star,3966.13,Standard,2012,11,2016,6
75,501704,Canada,Quebec,Hull,J8Y 3Z5,Male,College,79245,Divorced,Star,3974.86,Standard,2013,5,2016,6
76,529098,Canada,British Columbia,Vancouver,V6E 3Z3,Female,College,79245,Divorced,Star,3974.86,Standard,2017,10,2016,6
77,265297,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,60519,Married,Star,3978.67,Standard,2018,7,2016,6
78,567875,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,102457,Married,Star,3979.72,Standard,2017,5,2016,6
79,688524,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,103862,Married,Star,3980.42,Standard,2013,3,2016,6
80,269070,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Master,93153,Married,Star,3985.32,Standard,2013,1,2016,6
81,387705,Canada,Quebec,Hull,J8Y 3Z5,Female,Master,93153,Married,Star,3985.32,Standard,2013,4,2016,6
82,923293,Canada,Saskatchewan,Regina,S6J 3G0,Male,Bachelor,86793,Divorced,Star,3985.55,Standard,2016,6,2016,6
83,283314,Canada,Ontario,Toronto,M2Z 4K1,Female,Bachelor,72127,Married,Star,3991.73,Standard,2013,4,2015,2
84,322102,Canada,British Columbia,Vancouver,V5R 1W3,Male,College,79245,Married,Star,3992.58,Standard,2013,8,2014,4
85,789157,Canada,British Columbia,Vancouver,V6E 3Z3,Female,College,79245,Single,Star,3995.36,Standard,2018,9,2016,6
86,654748,Canada,Ontario,Ottawa,K1F 2R2,Female,Bachelor,65721,Married,Star,3996.77,Standard,2017,4,2017,12
87,984713,Canada,Ontario,Sudbury,M5V 1G5,Female,College,79245,Single,Star,3997.48,Standard,2018,8,2016,6
88,114835,Canada,Ontario,Toronto,M1R 4K3,Female,Master,101354,Divorced,Star,4001.52,Standard,2017,7,2016,6
89,328936,Canada,Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,53118,Married,Star,4005.72,Standard,2015,3,2016,6
90,845864,Canada,British Columbia,Vancouver,V5R 1W3,Female,Doctor,115440,Married,Star,4013.85,Standard,2013,4,2016,6
91,645265,Canada,Quebec,Quebec City,G1B 3L5,Male,Bachelor,73313,Married,Star,4013.95,Standard,2013,3,2016,6
92,223587,Canada,British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,100167,Married,Star,4013.96,Standard,2017,8,2016,6
93,158560,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,59262,Married,Star,4014.45,Standard,2015,12,2016,6
94,417584,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,59262,Married,Star,4014.45,Standard,2014,5,2016,6
95,566033,Canada,Ontario,Toronto,M2P 4F6,Male,College,79245,Married,Star,4015.21,Standard,2015,6,2016,7
96,472521,Canada,Alberta,Edmonton,T9G 1W3,Male,College,79245,Married,Aurora,6265.34,2018 Promotion,2018,3,2016,6
97,425854,Canada,Ontario,Toronto,P1J 8T7,Female,High School or Below,39079,Married,Star,4016.13,Standard,2016,11,2016,6
98,174896,Canada,Alberta,Edmonton,T3G 6Y6,Female,College,79245,Single,Star,4016.54,Standard,2015,4,2015,12
99,695855,Canada,Quebec,Montreal,H2T 2J6,Female,College,79245,Divorced,Star,4019.38,Standard,2013,4,2016,6
100,699511,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,College,79245,Divorced,Star,4019.38,Standard,2014,7,2016,6
101,377322,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,62518,Married,Star,4023.81,Standard,2016,5,2016,6
102,511053,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,62518,Married,Star,4023.81,Standard,2015,3,2016,6
103,890753,Canada,Quebec,Montreal,H2Y 2W2,Male,College,79245,Married,Star,4025.1,Standard,2017,9,2016,6
104,796670,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,47536,Married,Star,4035.68,Standard,2014,2,2016,6
105,556136,Canada,Quebec,Montreal,H4G 3T4,Female,College,79245,Married,Star,4035.77,Standard,2017,1,2016,6
106,513081,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,98320,Married,Star,4037.5,Standard,2015,11,2016,6
107,930718,Canada,Quebec,Montreal,H2T 2J6,Female,High School or Below,63577,Married,Star,4037.55,Standard,2015,7,2016,6
108,235872,Canada,Ontario,Toronto,P1J 8T7,Female,Doctor,89057,Single,Star,4046.94,Standard,2013,3,2016,6
109,881142,Canada,British Columbia,Vancouver,V1E 4R6,Female,Doctor,89057,Single,Star,4046.94,Standard,2016,9,2017,5
110,295147,Canada,British Columbia,Kelowna,V09 2E9,Male,Bachelor,99814,Married,Star,4048.16,Standard,2017,5,2016,6
111,306110,Canada,Ontario,Toronto,P1J 8T7,Male,Bachelor,64587,Married,Star,4053.37,Standard,2013,5,2016,6
112,295217,Canada,Ontario,Toronto,M1R 4K3,Female,Doctor,67411,Divorced,Star,4059.57,Standard,2016,6,2016,6
113,967300,Canada,Alberta,Edmonton,T9G 1W3,Male,Bachelor,62630,Single,Aurora,6364.9,2018 Promotion,2018,3,2018,11
114,591731,Canada,Ontario,Toronto,P2T 6G3,Male,Bachelor,51370,Married,Star,4064.18,Standard,2013,9,2016,6
115,326905,Canada,British Columbia,Vancouver,V5R 1W3,Female,College,79245,Married,Star,4068.09,Standard,2017,2,2016,6
116,375511,Canada,Quebec,Montreal,H2Y 2W2,Female,Bachelor,59300,Single,Star,4070.05,Standard,2014,7,2016,6
117,485283,Canada,Ontario,Toronto,P1J 8T7,Male,Bachelor,102479,Single,Star,4072.85,Standard,2017,9,2016,6
118,920716,Canada,Alberta,Peace River,T9O 2W2,Female,College,79245,Single,Aurora,7098.91,2018 Promotion,2018,4,2016,6
119,797685,Canada,Alberta,Edmonton,T3G 6Y6,Male,College,79245,Married,Star,4079.13,Standard,2017,6,2016,6
120,216467,Canada,New Brunswick,Fredericton,E3B 2H2,Male,Doctor,90995,Married,Star,4083.56,Standard,2014,7,2016,6
121,958839,Canada,Quebec,Montreal,H4G 3T4,Male,Doctor,90995,Married,Star,4083.56,Standard,2018,8,2016,6
122,539673,Canada,Ontario,Toronto,P5S 6R4,Female,Bachelor,49558,Married,Star,4087.51,Standard,2015,2,2018,6
123,746226,Canada,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,63501,Married,Star,4089.04,Standard,2018,1,2016,6
124,484718,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,76367,Single,Star,4089.46,Standard,2012,6,2016,6
125,528492,Canada,Quebec,Hull,J8Y 3Z5,Male,Bachelor,60360,Married,Star,4090.75,Standard,2015,6,2018,11
126,995091,Canada,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,55454,Married,Star,4095.2,Standard,2017,9,2016,6
127,632793,Canada,Quebec,Hull,J8Y 3Z5,Female,High School or Below,60370,Single,Star,4097.37,Standard,2016,6,2016,6
128,912220,Canada,British Columbia,Vancouver,V6E 3Z3,Male,High School or Below,60370,Single,Star,4097.37,Standard,2013,8,2014,4
129,382197,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,69367,Married,Star,4100.47,Standard,2017,10,2018,6
130,705196,Canada,British Columbia,Whistler,V6T 1Y8,Female,College,79245,Single,Star,4101.94,Standard,2013,11,2016,6
131,123094,Canada,British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,92223,Married,Star,4103.85,Standard,2018,1,2016,6
132,366540,Canada,Alberta,Calgary,T3E 2V9,Female,Bachelor,90077,Married,Aurora,7288.88,2018 Promotion,2018,3,2016,6
133,119488,Canada,Quebec,Tremblant,H5Y 2S9,Female,College,79245,Single,Star,4108.26,Standard,2017,6,2016,6
134,287750,Canada,Ontario,Ottawa,K1F 2R2,Female,College,79245,Single,Star,4109.31,Standard,2012,8,2016,6
135,735846,Canada,Ontario,Trenton,K8V 4B2,Male,Bachelor,95318,Married,Star,4109.79,Standard,2012,8,2016,6
136,606026,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,55207,Single,Star,4110.62,Standard,2015,7,2016,6
137,460291,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,Bachelor,55476,Divorced,Star,4111.2,Standard,2015,9,2016,6
138,743001,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,79533,Married,Star,4111.89,Standard,2017,5,2016,6
139,869799,Canada,Ontario,Toronto,P1W 1K4,Female,Bachelor,79533,Married,Star,4111.89,Standard,2015,3,2016,6
140,520321,Canada,Ontario,London,M5B 3E4,Female,Doctor,237245,Married,Star,4112.84,Standard,2015,9,2016,5
141,279419,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,College,79245,Single,Star,4117.37,Standard,2013,7,2016,6
142,170585,Canada,Ontario,Thunder Bay,K8T 5M5,Male,Bachelor,82675,Single,Star,4118.59,Standard,2013,8,2016,6
143,188340,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,82675,Single,Star,4118.59,Standard,2017,4,2016,6
144,670817,Canada,Ontario,Ottawa,K1F 2R2,Male,Bachelor,82675,Single,Star,4118.59,Standard,2016,12,2016,6
145,509513,Canada,British Columbia,Vancouver,V5R 1W3,Male,College,79245,Single,Star,4121.25,Standard,2012,12,2016,6
146,779247,Canada,Manitoba,Winnipeg,R2C 0M5,Male,Bachelor,86987,Married,Star,4122.57,Standard,2012,9,2016,6
147,111255,Canada,Quebec,Hull,J8Y 3Z5,Male,High School or Below,70272,Married,Star,4122.96,Standard,2013,3,2016,6
148,763061,Canada,Ontario,Toronto,P2T 6G3,Male,Bachelor,56845,Married,Star,4126.61,Standard,2014,4,2016,6
149,766335,Canada,Alberta,Edmonton,T9G 1W3,Male,Bachelor,67756,Married,Aurora,7482.49,2018 Promotion,2018,2,2016,6
150,428919,Canada,Quebec,Montreal,H2T 9K8,Female,Bachelor,58209,Divorced,Star,4139.9,Standard,2015,7,2016,6
151,139863,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,67223,Married,Star,4142.56,Standard,2015,10,2016,6
152,695755,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,Bachelor,79088,Married,Star,4144.87,Standard,2012,4,2016,6
153,355331,Canada,Ontario,Thunder Bay,K8T 5M5,Male,College,79245,Divorced,Star,4145.02,Standard,2013,7,2016,6
154,578837,Canada,Ontario,Toronto,P5S 6R4,Male,College,79245,Single,Star,4152.65,Standard,2012,5,2016,6
155,603248,Canada,British Columbia,Vancouver,V6E 3D9,Male,College,79245,Married,Star,4157.7,Standard,2016,2,2016,10
156,467182,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,102347,Married,Star,4160.02,Standard,2013,12,2018,10
157,601407,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,72809,Married,Star,4165.17,Standard,2015,9,2016,6
158,700871,Canada,Newfoundland,St. John's,A1C 6H9,Female,Bachelor,74567,Married,Star,4165.25,Standard,2015,12,2016,6
159,203809,Canada,Alberta,Edmonton,T3G 6Y6,Female,High School or Below,54160,Married,Star,4165.35,Standard,2012,7,2016,6
160,705589,Canada,Ontario,Toronto,P1L 8X8,Female,College,79245,Single,Star,4165.99,Standard,2012,5,2016,6
161,354438,Canada,Quebec,Montreal,H2T 2J6,Male,College,79245,Married,Star,4167.09,Standard,2018,9,2016,6
162,746060,Canada,British Columbia,Victoria,V10 6T5,Male,College,79245,Married,Star,4167.09,Standard,2014,4,2016,6
163,469718,Canada,Ontario,Toronto,P1J 8T7,Male,Bachelor,73544,Married,Star,4167.42,Standard,2013,1,2016,6
164,164429,Canada,British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,57852,Single,Star,4169.36,Standard,2012,9,2016,6
165,708373,Canada,Ontario,Toronto,M2P 4F6,Female,Bachelor,57852,Single,Star,4169.36,Standard,2017,3,2016,6
166,225088,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,97991,Married,Star,4170.34,Standard,2015,9,2016,6
167,100214,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,63253,Married,Star,4170.57,Standard,2015,8,2016,6
168,459999,Canada,Quebec,Tremblant,H5Y 2S9,Male,Bachelor,53465,Single,Star,4170.69,Standard,2017,9,2016,6
169,553936,Canada,Ontario,Toronto,P1J 8T7,Female,Bachelor,53465,Single,Star,4170.69,Standard,2014,12,2015,8
170,268128,Canada,Ontario,Toronto,P1W 1K4,Female,High School or Below,47663,Married,Star,4177.88,Standard,2013,1,2016,6
171,930584,Canada,British Columbia,Vancouver,V5R 1W3,Male,College,79245,Single,Star,4185.76,Standard,2015,7,2016,6
172,327796,Canada,Quebec,Quebec City,G1B 3L5,Male,College,79245,Single,Star,4191.06,Standard,2017,6,2016,6
173,947467,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,49937,Married,Star,4196.43,Standard,2015,2,2016,6
174,743510,Canada,British Columbia,Vancouver,V6E 3D9,Male,College,79245,Single,Star,4196.65,Standard,2016,5,2016,6
175,580324,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,61113,Married,Star,4198.03,Standard,2013,6,2016,6
176,845613,Canada,Quebec,Montreal,H2Y 4R4,Male,Bachelor,54297,Married,Star,4198.03,Standard,2018,10,2016,6
177,645919,Canada,Alberta,Edmonton,T3G 6Y6,Female,Bachelor,66297,Divorced,Aurora,7484.31,2018 Promotion,2018,3,2016,6
178,423324,Canada,Quebec,Montreal,H2Y 2W2,Male,Bachelor,69599,Divorced,Star,4200.37,Standard,2017,12,2016,6
179,101945,Canada,Nova Scotia,Halifax,B3C 2M8,Male,Bachelor,86098,Married,Star,4202.66,Standard,2013,11,2016,6
180,713636,Canada,Ontario,London,M5B 3E4,Male,Doctor,48109,Married,Star,4212.8,Standard,2014,8,2016,6
181,302509,Canada,British Columbia,Dawson Creek,U5I 4F1,Male,Doctor,74238,Married,Star,4213.92,Standard,2017,3,2016,6
182,789421,Canada,British Columbia,Vancouver,V1E 4R6,Female,College,79245,Single,Star,4217.86,Standard,2016,11,2016,6
183,914255,Canada,Ontario,Toronto,M8Y 4K8,Male,College,79245,Single,Star,4217.86,Standard,2015,11,2016,7
184,675879,Canada,Alberta,Edmonton,T3G 6Y6,Male,Bachelor,78617,Married,Aurora,8000.55,2018 Promotion,2018,2,2016,6
185,404426,Canada,British Columbia,Vancouver,V6E 3D9,Female,Doctor,99696,Married,Star,4223.27,Standard,2014,9,2016,6
186,260106,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,88876,Single,Star,4228.25,Standard,2013,6,2017,4
187,827194,Canada,Alberta,Edmonton,T3G 6Y6,Female,Bachelor,71450,Married,Aurora,8255.76,2018 Promotion,2018,3,2016,6
188,438023,Canada,British Columbia,West Vancouver,V6V 8Z3,Male,College,79245,Married,Star,4228.73,Standard,2013,1,2016,6
189,397518,Canada,Saskatchewan,Regina,S6J 3G0,Male,Bachelor,76056,Married,Star,4235.18,Standard,2018,1,2018,9
190,645742,Canada,Ontario,Kingston,M9K 2P4,Male,Bachelor,76056,Married,Star,4235.18,Standard,2014,8,2015,8
191,872932,Canada,Quebec,Montreal,H2Y 2W2,Male,High School or Below,72685,Married,Star,4236.3,Standard,2015,3,2016,6
192,407945,Canada,New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,75108,Married,Star,4236.47,Standard,2012,12,2016,6
193,211714,Canada,British Columbia,Vancouver,V6E 3Z3,Female,Doctor,103572,Married,Star,4236.84,Standard,2015,6,2016,6
194,410982,Canada,Ontario,Trenton,K8V 4B2,Male,Master,132353,Married,Star,4237.37,Standard,2017,2,2016,6
195,905213,Canada,British Columbia,Vancouver,V6E 3D9,Female,Master,132353,Married,Star,4237.37,Standard,2015,10,2016,6
196,147898,Canada,Quebec,Tremblant,H5Y 2S9,Female,High School or Below,59849,Divorced,Star,4241.64,Standard,2012,8,2016,6
197,530105,Canada,Ontario,London,M5B 3E4,Male,College,79245,Single,Star,4242.69,Standard,2017,11,2018,7
198,610946,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,56947,Married,Star,4244.47,Standard,2016,12,2016,6
199,383108,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,64497,Married,Star,4247.68,Standard,2012,6,2016,6
200,836343,Canada,Ontario,Toronto,P1L 8X8,Female,Bachelor,64497,Married,Star,4247.68,Standard,2017,4,2016,6
201,110262,Canada,Alberta,Edmonton,T9G 1W3,Male,Bachelor,52267,Married,Aurora,9427.68,2018 Promotion,2018,2,2016,6
202,585357,Canada,Quebec,Quebec City,G1B 3L5,Male,College,79245,Single,Star,4250.28,Standard,2016,10,2016,6
203,784804,Canada,Alberta,Banff,T4V 1D4,Female,College,79245,Single,Star,4250.28,Standard,2015,8,2016,6
204,719633,Canada,British Columbia,Victoria,V10 6T5,Male,Bachelor,52109,Divorced,Star,4250.78,Standard,2016,12,2016,6
205,715764,Canada,Manitoba,Winnipeg,R3R 3T4,Male,College,79245,Single,Star,4253.28,Standard,2016,8,2016,6
206,753473,Canada,Ontario,Toronto,M2M 7K8,Female,Doctor,70996,Single,Star,4254.62,Standard,2013,7,2016,6
207,980856,Canada,Nova Scotia,Halifax,B3J 9S2,Male,Doctor,70996,Single,Star,4254.62,Standard,2015,2,2016,6
208,271660,Canada,British Columbia,Vancouver,V5R 1W3,Male,College,79245,Married,Star,4270.03,Standard,2015,4,2016,6
209,342980,Canada,Alberta,Peace River,T9O 2W2,Female,Bachelor,69086,Single,Aurora,19480.5,2018 Promotion,2018,2,2016,6
210,830547,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,51111,Single,Star,4271.2,Standard,2018,5,2016,6
211,264936,Canada,British Columbia,Whistler,V6T 1Y8,Female,College,79245,Single,Star,4272.81,Standard,2013,8,2016,6
212,436498,Canada,Quebec,Montreal,H2T 9K8,Male,College,79245,Single,Star,4272.81,Standard,2013,11,2016,3
